ID,TITLE,BODY
0,Edo,"Edo diligently searches the scene, and after a moment sniffs out something."
1,You,"""Whatcha got there?"""
11,Edo,Edo barks!
111,You,"""C'mere boy!"""
1111,Edo,"Edo stares at you till you walk over. You see what he's found, tiny gray flecks on the ground. Scales- or maybe feathers, hard to tell.[getEVIDENCE_FLECKS][end]"
112,You,Walk over.
1121,You,"You walk over to see what he's found. Tiny gray flecks on the ground. Scales- or maybe feathers, hard to tell.[getEVIDENCE_FLECKS]"
11211,You,Pet the dog.
112111,Edo,Edo's tail wags.[end]
11212,You,Walk back.[end]
2,You,Walk over.
21,You,"You walk over to see what he's found. Tiny gray flecks on the ground. Scales- or maybe feathers, hard to tell.[getEVIDENCE_FLECKS]"
211,You,Pet the dog.
2111,Edo,Edo's tail wags.[end]
212,You,Walk back.[end]
3,You,Wait.
31,Technician,"One of the technicians walks over to Edo, and bags up something from the ground. They walk over and hand it to you."
311,You,"""Thanks."""
3111,Technician,"""Of course Detective."" Inside the bag, some small gray flecks. Looks like scales maybe- or feathers?[getEVIDENCE_FLECKS][end]"
312,You,Wordlessly accept it.
3121,You,"Looking inside the bag, you notice some small gray flecks. Looks like scales of some sort, or maybe feathers.[getEVIDENCE_FLECKS][end]"
@0,Eric Meng,"""Hey Detective, don't mind me."""
1,You,"""Hmph, the Abra Gazette's really scraping the bottom of the barrel nowadays."""
11,Eric Meng,"""Well don't you worry, I'll be hitting the bricks soon.""[end]"
2,You,"""Well aren't you a sight for sore eyes."""
21,Eric Meng,"""And here I thought gumshoes had no heart. What do you need?"""
211,You,"""Do you recognize anything here?"""
2111,Eric Meng,"""Believe it or not I do, the driver was a frequent hunter around these parts. Member of the Abra Hunting Club.""[back21][unlock214]"
212,You,"""That's everything I need."""
2121,You,"""You reporters have your uses after all."""
21211,Eric Meng,"""Always happy to be of service Detective."" [end]"
213,You,"[locked]""Happen to know anything about the stiff?"""
2131,Eric Meng,"""He liked to talk a big game about how he could take on many of the supernatural elements that live around here, always spoutin' off his plans.""[back21]"
3,You,"""Hey pal, I got a few questions that need answers."""
31,Eric Meng,"""I bet you do."""
311,You,"""Do you recognize anything here?"""
3111,Eric Meng,"""I recognize the guy. Frequent hunter around these parts, member of the Abra Hunting Club."""
31111,Eric Meng,"""I notice his gun there too, but I wonder why he doesn't have the rest of his equipment.""[back31]"
312,You,"""Anything strange stick out to you?"""
3121,Eric Meng,"""Those footprints sure do, they start and stop without warning, and they definitely don't look human."""
31211,Eric Meng,"""Maybe it's got other means of getting around.""[back31]"
313,You,"""I think I got all I need.""[end]"
@0,Officer Jameson,"""Good evening Detective."""
1,You,"""You were the first officer on scene, correct?"""
11,Officer Jameson,"""That's correct."""
111,You,"""So who noticed the sorry sap first?"""
1111,Officer Jameson,"""Some local called it in, but they didn't stick around.""[back11]"
112,You,"""What'd you see when you got here?"""
1121,Officer Jameson,"""Everything you see here, except the driver was still alive.""[back11][unlock114]"
113,You,"""That's all for now, thanks.""[end]"
114,You,"[locked] ""You're telling me that the stiff was still kicking?"""
1141,Officer Jameson,"""Yep, when I arrived it looked like he was frozen to his seat. I snapped him out of it I think, but then he just started spouting nonsense."""
11411,Officer Jameson,"""I removed him from the truck, and he wasn't even bleeding that badly, but next thing you know he collapses into me, dead as a doornail.""[back11]"
2,You,"""Lets make this quick, I don't want to be burning the midnight oil."""
21,Officer Jameson,"""Well, I'm doing fine."""
211,You,"""Not the point, listen, can you answer some questions?"""
2111,Officer Jameson,"""If I gotta.""[back11]"
212,You,"""Hm. You got a minute?"""
2121,Officer Jameson,"""I guess.""[back11]"
3,You,"""I have some questions."""
31,Officer Jameson,"""What do you got for me."""
311,You,"""You were the first one here, right?"""
3111,Officer Jameson,"""Yep. Some local called in a crash, I got here right before the ambulance, tried helping the driver out of the truck.""[back31][unlock 314]"
312,You,"""When did this happen?"""
3121,Officer Jameson,"""I couldn't tell ya for certain, I got here around 1:30, so the guy couldn't have detoured into a tree earlier than 1:00""[back31]"
313,You,"""I think that's everything.""[end]"
314,You,"[locked] ""What condition was the driver in?"""
3141,Officer Jameson,"""He was still alive, at first he wasn't responsive at all, but I think I snapped him out of it when I tried moving him, and he lost it."""
31411,You,"""What do you mean he 'lost it'?"""
314111,Officer Jameson,"""Like, rambling and sputtering, all nonsense, but he must've tired himself out cause after a bit he collapsed.""[back31]"
31412,You,"""How hurt was he?"""
314121,Officer Jameson,"""I've seen more people survive worse, sure he was bleeding, but nowhere important. But then, after a minute, the poor dude just collapsed into me.""[back31]"
31413,You,"""Crash must've rattled him badly.""[back31]"
@0,Eric Meng,"""Well if it isn't my favorite slueth"""
1,You,"""Now what's a newshound doing around here?"""
11,Eric Meng,"""Just doin' my job, you just come by to chat?"""
111,You,"""Yep, not too worried about this case."""
1111,Eric Meng,"""That's either a great sign, or a terrible one.""[end]"
112,You,"""Nah, just got some questions for you."""
1121,Eric Meng,"""I see."""
11211,You,"""What do you make of this?"""
112111,Eric Meng,"""I dunno, looks like some washed up wreck, definitely got attacked out there, but who knows why.""[back1121]"
11212,You,"""This doesn't happen often does it?"""
112121,Eric Meng,"""No it does not, and good thing too, given a lot of ours dependence on the water.""[back1121][unlock11215]"
11213,You,"""Do you know anything about this victim?"""
112131,Eric Meng,"""All I see is a hand, so I don't know how I'd recognize them.""[back1121][unlock11216]"
11214,You,"""I think that's everything.""[end]"
11215,You,"[locked] ""Why aren't there more sorry saps at the bottom of the lake?"""
112151,Eric Meng,"""Most creatures in the sea aren't that aggressive, especially towards bigger ships. This couldn't have been a random attack.""[back1121]"
11216,You,"[locked] ""Must've been a fisher though, right?"""
112161,Eric Meng,"""This is a fishing ship, but I don't see the equipment. Plenty of fishermen have odd jobs around here, maybe they were on an errand.""[back1121]"
2,You,"""Nice to have a fan. I've got some questions."""
21,Eric Meng,"""Sure thing, ask away."""
211,You,"""Notice anything off?"""
2111,Eric Meng,"""The only thing off is this whole ordeal."""
21111,Eric Meng,"""These sorts of attacks almost never happen, Abra's sea creatures don't bother us lest we bother them.""[back21][unlock215]"
212,You,"""Know anything about the victim?"""
2121,Eric Meng,"""It's just a hand, so- no. The most I can surmise is they were a fisher.""[back21]"
213,You,"""Know anything about the ship?"""
2131,Eric Meng,"""Seems like a standard gillnetter, fishing ship, though they could've been using it for anything. A lot of sailors in Oldport have side-gigs.""[back21]"
214,You,"""Thanks for your help, that's all.""[end]"
215,You,"[locked] ""What could the victim have done to provoke something?"""
2151,Eric Meng,"""Besides attacking them? I got no clue, unless the captain was a fool, they would've known not to harass anything.""[back21]"
3,You,"""You got a minute, stringer?"""
31,Eric Meng,"""Just one, why?"""
311,You,"""I'll make it quick then."""
3111,Eric Meng,"""Better get to your point""[back31]"
312,You,"""What've you put together so far?"""
3121,Eric Meng,"""Not much, the ship was obviously attacked, but by what? Oldport's sailors know better than to provoke any sea creatures.""[back31][unlock316]"
313,You,"""Have you seen this happen before?"""
3131,Eric Meng,"""A wreck like this? Almost never happens, good thing too, given the town's dependence on the water.""[back31]"
314,You,"""My minute's up, that's everything.""[end]"
315,You,"[locked] ""What would provoke something?"""
3161,Eric Meng,"""Oh I dunno, attacking it I guess? Staying too long in its territory maybe?""[back31]"
4,You,"""I'm clearly doing something wrong then."""
41,Eric Meng,"""Y'know, I don't know what your problem with me is.""[end]"
