BODY
"CODEX"
"Mahamba||The Mahamba appears similar to a giant crocodile, reaching lengths of up to 40 feet long.[getCULP_MAHAMBA]"
"Mahamba||It eats almost anything in its territory, though typically avoids anything of a similar size."
"Mahamba||The Mahamba’s behavior changes entirely when its children are threatened, as it has a very aggressive paternal instinct."
"Nguma-monene||Nguma-monene is a long snake-like creature with short stubby legs and a serrated ridge along its spine. It hunts everywhere in whatever body of water it inhabits.[getCULP_NGUMAxMONENE]"
"Nguma-monene||It mostly targets large fish and fauna that swim too far from the coast."
"Nguma-monene||All nguma-monene are survivors, once the eggs are laid, the adult nguma-monene will leave its children to fend for themselves."
"Skeljaskrimsli||The Skeljaskrimsli, or Shell Monster for short, is a huge bear-like hippo with blue scales and long claws. It’s a fearsome predator, living in the deepest parts of the sea.[getCULP_SKELJASKRIMSLI]"
"Skeljaskrimsli||It is fiercely territorial, challenging anything big enough that crosses its path. Luckily, due to the depth of its home, contact with it is unlikely."
"Kraken||Krakens come in many different shapes and sizes. The key similarities in each of their reported sightings is the kraken’s enormous tentacles.[getCULP_KRAKEN]"
"Kraken||It uses them to drag whole ships down, where it devours anything onboard with an enormous beak. Krakens are large, and many ships nowadays are equipped to spot and avoid them."
